ML#,Style,Development,Sold_Price,Baths Half,Bath,Bedrooms,Appearance,Unit on Floor #,Days On Market,Contract Date,Listing Price,Town
2,Other,123    Main St,239000,1,0,1,,2,26,6/27/2020,239000,Eastern
1,Co-Op,123 Main St,224000,1,1,1,Mint,1,130,03/06/2020,229000,Eastern
5,Other,123 Main St,210000,1,0,1,,1,142,12/11/2020,235000,Eastern
4,Other,123 Main St,230000,1,0,1,,2,12,11/11/2020,235000,Eastern
6,Garden Apartment,123 Main St,265000,1,0,1,Mint,2,21,09/09/2022,269000,Eastern
3,Other,123 Maine St,220000,1,1,1,excel,1,34,07/03/2020,229900,Eastern
12,Townhouse,Beach Manor,450000,2,1,2,Mint,1,19,4/10/2022,499999,Westville
13,Townhouse,Beach Manor,469000,2,1,2,,1,16,8/18/2022,469000,Westville
234,Townhouse,Brookstown,394000,2,1,2,Beautiful,1,17,09/08/2020,359999,Lisps
261,Other,Bucolic,350000,2,0,2,,1,30,01/02/2022,358000,Coral
262,Townhouse,Bucolic,400000,2,0,2,Diamond,1,21,1/17/2022,399900,Coral
263,Other,Bucolic,381000,2,0,2,Excellent,1,25,1/24/2022,369999,Coral
264,Other,Bucolic,398500,2,0,2,,1,13,3/25/2022,399000,Coral
265,Other,Bucolic,384990,2,0,2,Mint,1,61,3/31/2022,384990,Coral
266,Other,Bucolic,350000,2,0,2,,1,14,4/18/2022,359999,Coral
267,Other,Bucolic,369000,2,0,2,Excellent,1,47,4/21/2022,369000,Coral
268,Other,Bucolic,372000,2,0,2,Excellent,1,145,06/03/2022,369000,Coral
269,Other,Bucolic,365000,2,0,2,,1,41,7/14/2022,374000,Coral
270,Other,Bucolic,356800,2,0,2,Mint,1,56,8/25/2022,359500,Coral
271,Other,Bucolic,410000,2,0,2,Excellent,1,37,9/18/2022,439000,Coral
272,Other,Bucolic,389000,2,0,2,Mint,1,18,11/18/2022,389000,Coral
273,Other,Bucolic,345000,2,0,2,Mint,1,94,12/08/2022,369000,Coral
274,Other,Bucolic,320000,2,0,2,,1,76,2/17/2023,319000,Coral
275,Other,Bucolic,350000,2,0,2,Mint,1,15,04/06/2023,359999,Coral
276,Townhouse,Bucolic,390000,2,0,2,Mint,1,47,4/21/2023,409900,Coral
277,Other,Bucolic,410000,2,0,2,Diamond,1,26,05/08/2023,399000,Coral
278,Other,Bucolic,370000,2,0,2,Mint,1,34,5/26/2023,379000,Coral
279,Other,Bucolic,360000,2,0,2,Mint,1,25,7/13/2023,373000,Coral
280,Other,Bucolic,419000,2,0,2,Mint,1,7,8/12/2023,419000,Coral
281,Other,Bucolic,285000,2,0,2,Mint,1,204,3/12/2020,297000,Coral
282,Other,Bucolic,328000,2,1,2,Mint,1,22,5/31/2020,328000,Coral
283,Other,Bucolic,323999,2,0,2,Pristine,1,65,06/01/2020,326999,Coral
284,Other,Bucolic,298500,2,0,2,,1,54,06/06/2020,320000,Coral
285,Other,Bucolic,310000,2,0,2,Mint,1,21,07/09/2020,310000,Coral
286,Other,Bucolic,360000,2,0,2,Diamond++,1,20,12/11/2020,339999,Coral
287,Other,Bucolic,335000,2,0,2,Excellent,1,52,02/05/2021,339000,Coral
288,Other,Bucolic,329000,2,0,2,Mint,1,18,3/15/2021,329000,Coral
289,Other,Bucolic,330000,2,0,2,Mint,1,23,3/20/2021,329000,Coral
290,Other,Bucolic,330000,2,0,2,Excellent,1,150,3/29/2021,327000,Coral
291,Other,Bucolic,325000,2,0,2,Mint+,1,21,04/02/2021,328000,Coral
292,Other,Bucolic,349000,2,0,2,Mint,1,28,4/12/2021,349000,Coral
293,Other,Bucolic,339000,2,0,2,Mint,1,27,5/15/2021,339000,Coral
294,Other,Bucolic,350000,2,0,2,Mint,1,15,7/29/2021,339000,Coral
295,Other,Bucolic,300000,2,0,2,Mint +,1,17,7/31/2021,299999,Coral
296,Other,Bucolic,350000,2,0,2,,1,13,8/18/2021,344900,Coral
297,Other,Bucolic,375000,2,0,2,Mint,1,9,8/21/2021,349000,Coral
298,Other,Bucolic,360000,2,0,2,Mint,1,24,10/25/2021,349850,Coral
299,Other,Bucolic,300000,2,0,2,,1,36,12/27/2021,339900,Coral
300,,Bucolic,300000,2,0,2,Mint,1,35,03/03/2020,309000,Coral
301,Garden Apartment,Bucolic,314000,2,0,2,,1,87,5/11/2020,319000,Coral
228,Other,Cam Bridge,277000,2,0,2,Diamond,1,15,4/15/2020,279000,Coral
230,Other,Cambridg,225000,1,0,1,mint+,1,19,5/23/2020,225000,Coral
47,Townhouse,Cambridge,360000,1,1,1,Diamnond++,0,87,4/25/2022,349900,Coral
49,Townhouse,Cambridge,410000,2,1,2,DIAMOND,0,12,4/30/2022,399990,Coral
65,Townhouse,Cambridge,380000,2,1,2,,0,64,7/13/2022,399000,Coral
165,Other,Cambridge,350000,2,1,2,mint,0,65,3/13/2021,349999,Coral
24,Other,Cambridge,300000,2,0,2,Nice!,1,20,1/28/2022,300000,Coral
25,Other,Cambridge,285000,1,0,1,Mint,1,28,02/02/2022,295500,Coral
27,Other,Cambridge,310000,1,0,1,mint,1,57,2/12/2022,320000,Coral
30,Other,Cambridge,330000,2,0,2,MINT,1,33,2/26/2022,335000,Coral
31,Other,Cambridge,350000,1,1,1,,1,10,2/28/2022,355000,Coral
32,Other,Cambridge,265000,1,0,1,mint,1,16,03/02/2022,300000,Coral
33,Townhouse,Cambridge,355000,1,1,1,,1,10,03/08/2022,365000,Coral
34,Other,Cambridge,360000,2,0,2,,1,19,03/08/2022,340000,Coral
35,Other,Cambridge,320000,2,0,2,,1,11,03/09/2022,299000,Coral
36,Townhouse,Cambridge,291000,1,1,1,,1,72,03/07/2022,320000,Coral
37,Other,Cambridge,320000,1,0,1,,1,7,3/13/2022,309000,Coral
38,Garden Apartment,Cambridge,370000,1,1,1,Diamond,1,9,3/14/2022,325000,Coral
39,Townhouse,Cambridge,371000,2,0,2,Excellent,1,43,3/15/2022,369000,Coral
40,Other,Cambridge,340000,2,0,2,Excellent,1,10,3/24/2022,309999,Coral
41,Townhouse,Cambridge,369990,2,1,2,Excellent,1,22,04/01/2022,369990,Coral
42,Townhouse,Cambridge,420000,2,1,2,Excellent,1,144,04/04/2022,400000,Coral
43,Garden Apartment,Cambridge,220000,2,0,2,,1,21,04/05/2022,175000,Coral
44,Townhouse,Cambridge,276000,1,1,1,Average,1,18,4/11/2022,254900,Coral
46,Townhouse,Cambridge,375000,2,1,2,,1,15,4/16/2022,385000,Coral
48,Other,Cambridge,407000,2,0,2,,1,13,4/25/2022,389000,Coral
50,Other,Cambridge,345000,2,0,2,Excellent,1,21,05/02/2022,329999,Coral
51,Townhouse,Cambridge,365000,2,1,2,Excellent,1,111,5/10/2022,340000,Coral
53,Townhouse,Cambridge,330000,1,1,1,,1,10,5/16/2022,314000,Coral
54,Townhouse,Cambridge,390000,2,1,2,Mint,1,12,5/21/2022,389900,Coral
55,Townhouse,Cambridge,325000,1,1,1,,1,119,5/24/2022,349900,Coral
56,Other,Cambridge,316000,1,1,1,,1,2,06/07/2022,310000,Coral
57,Other,Cambridge,380000,2,1,2,,1,74,06/09/2022,379000,Coral
59,Townhouse,Cambridge,277000,1,0,1,diamond!!,1,24,6/17/2022,269000,Coral
60,Other,Cambridge,360000,1,1,1,,1,47,6/17/2022,349000,Coral
61,Other,Cambridge,382500,2,0,2,,1,15,6/21/2022,395000,Coral
62,Other,Cambridge,280000,1,1,1,Excellent,1,12,6/29/2022,269990,Coral
63,Other,Cambridge,375000,2,0,2,,1,28,6/29/2022,388000,Coral
64,Townhouse,Cambridge,329000,1,1,1,,1,38,07/09/2022,329000,Coral
66,Other,Cambridge,380000,2,0,2,,1,18,7/15/2022,389000,Coral
67,Other,Cambridge,325000,1,1,1,mint,1,16,7/16/2022,325000,Coral
68,Townhouse,Cambridge,242000,1,1,1,,1,3,7/20/2022,229000,Coral
69,Other,Cambridge,275000,1,0,1,,1,5,7/20/2022,249000,Coral
71,Other,Cambridge,350000,1,0,1,Diamond,1,21,08/02/2022,359000,Coral
72,Other,Cambridge,370000,2,0,2,,1,29,08/09/2022,359000,Coral
74,Other,Cambridge,300000,1,1,1,Mint,1,36,8/25/2022,319000,Coral
76,Other,Cambridge,395000,2,1,2,Diamond,1,38,9/12/2022,389000,Coral
77,Other,Cambridge,370000,1,1,1,,1,18,9/16/2022,379000,Coral
78,Other,Cambridge,317500,2,0,2,Excellent,1,32,9/22/2022,334900,Coral
79,Other,Cambridge,262000,1,1,1,Excellent,1,5,9/29/2022,249000,Coral
80,Other,Cambridge,285000,1,1,1,,1,2,10/04/2022,285000,Coral
